ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0033002	muscle cell proliferation	17/305	252/18860	0.06746031746031746	4.171480614103564	6.498172761262271	8.018932159385464e-7	1.127351255648777e-4	8.123716753845674e-5	5950/5468/9370/28984/858/7049/284/3725/3479/1901/9314/2247/10403/983/4602/9510/2353	17
GO:0042542	response to hydrogen peroxide	11/305	103/18860	0.10679611650485436	6.603851663218207	7.311429968213194	8.79807540320219e-7	1.164120935886913e-4	8.388679839563078e-5	3043/2146/847/9314/5111/983/4602/1843/10628/10365/2876	11
GO:1901342	regulation of vasculature development	21/305	375/18860	0.056	3.4628196721311477	6.176142260378961	8.851545011649326e-7	1.164120935886913e-4	8.388679839563078e-5	5140/51129/5468/3952/28984/948/7852/9444/23328/64102/9314/1003/5176/2247/7122/28996/9510/4192/8434/1634/10365	21
GO:0120163	negative regulation of cold-induced thermogenesis	8/305	48/18860	0.16666666666666666	10.306010928961747	8.276476046496246	9.181518885513198e-7	1.1697828905074158e-4	8.429480003114255e-5	9370/9444/1149/23228/4883/7030/216/4857	8
GO:2000630	positive regulation of miRNA metabolic process	9/305	65/18860	0.13846153846153847	8.561916771752838	7.829719018060611	9.715131890901245e-7	1.1799172501722307e-4	8.50250841106256e-5	5468/2625/3725/9314/6597/2247/4602/1956/2353	9
GO:0048880	sensory system development	23/305	443/18860	0.05191873589164785	3.210450357103208	6.0360378648243955	9.839878956550367e-7	1.1799172501722307e-4	8.50250841106256e-5	5950/8736/2625/1028/91851/6659/8076/7020/2202/3985/3725/5584/7837/9314/5176/6597/2247/28996/4915/1956/2353/7431/65084	23
GO:0031960	response to corticosteroid	13/305	154/18860	0.08441558441558442	5.219927613370237	6.741455426031019	1.3646659013161234e-6	1.5896408227616672e-4	1.145498505435579e-4	9370/6285/5105/8644/2354/2690/6586/5111/5176/1050/1843/2353/4192	13
GO:0051384	response to glucocorticoid	12/305	133/18860	0.09022556390977443	5.579193886355232	6.794531526238629	1.7291739727838116e-6	1.91510718155358e-4	1.3800302450759822e-4	9370/6285/5105/2354/2690/6586/5111/5176/1050/1843/2353/4192	12
GO:2000628	regulation of miRNA metabolic process	10/305	89/18860	0.11235955056179775	6.947872536378707	7.210937344747222	1.738017309724858e-6	1.91510718155358e-4	1.3800302450759822e-4	5468/2625/9444/3725/9314/6597/2247/4602/1956/2353	10
GO:0034219	carbohydrate transmembrane transport	12/305	134/18860	0.08955223880597014	5.537558111083924	6.758197202032802	1.8721644658661981e-6	2.008635401930655e-4	1.4474268765187143e-4	32/10580/3952/9370/55022/23433/81031/5584/360/3479/2171/5781	12
